team1,team2,toss_winner,toss_choice,man_of_the_match,stadium,place,team1_score,team2_score,winner,win_by_wickets,win_by_runs
Punjab,KKR,KKR,Field,Andre Russell,Maharashtra Cricket Association Stadium,Pune,155,159,KKR,4,0
CSK,RR,CSK,Bat,Ajinkya Rahane,Sardar Patel Stadium,Motera,156,157,RR,8,0
MI,RCB,RCB,Field,Harbhajan Singh,M Chinnaswamy Stadium,Bangalore,209,191,MI,0,18
DC,KKR,KKR,Field,Umesh Yadav,Feroz Shah Kotla,Delhi,146,147,KKR,6,0
RR,Punjab,Punjab,Field,Shaun Marsh,Sardar Patel Stadium,Motera,191,191,Tied,0,0
SRH,KKR,KKR,Field,David Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,176,101,SRH,0,16
CSK,RCB,RCB,Field,Suresh Raina,M Chinnaswamy Stadium,Bangalore,181,154,CSK,0,27
DC,MI,MI,Field,Shreyas Iyer,Feroz Shah Kotla,Delhi,190,153,DC,0,37
RR,RCB,RCB,Field,Mitchell Starc,Sardar Patel Stadium,Motera,130,134,RCB,9,0
MI,SRH,MI,Bat,Lasith Malinga,Wankhede Stadium,Mumbai,157,137,MI,0,20
CSK,Punjab,CSK,Bat,Brendon McCullum,MA Chidambaram Stadium,Chepauk,192,95,CSK,0,97
DC,RCB,RCB,Field,Varun Aaron,Feroz Shah Kotla,Delhi,95,99,RCB,10,0
SRH,Punjab,Punjab,Field,Trent Boult,Punjab Cricket Association Stadium,Mohali,150,130,SRH,0,20
CSK,KKR,KKR,Field,Dwayne Bravo,MA Chidambaram Stadium,Chepauk,134,132,CSK,0,2
CSK,KKR,KKR,Field,Andre Russell,Eden Gardens,Kolkata,165,169,KKR,7,0
Punjab,DC,DC,Field,Nathan Coulter-Nile,Feroz Shah Kotla,Delhi,118,119,DC,9,0
MI,RR,RR,Field,Ambati Rayudu,Wankhede Stadium,Mumbai,187,179,MI,0,8
KKR,RCB,RCB,Field,Mandeep Singh,M Chinnaswamy Stadium,Bangalore,113,115,RCB,7,0
SRH,CSK,CSK,Field,David Warner,Rajiv Gandhi International Stadium,Uppal,192,170,SRH,0,22
MI,Punjab,MI,Bat,Lendl Simmons,Punjab Cricket Association Stadium,Mohali,172,149,MI,0,23
RR,DC,DC,Field,Ajinkya Rahane,Brabourne Stadium,Mumbai,189,175,RR,0,14
CSK,RCB,CSK,Bat,Suresh Raina,MA Chidambaram Stadium,Chepauk,148,124,CSK,0,24
KKR,SRH,SRH,Field,Umesh Yadav,Eden Gardens,Kolkata,167,132,KKR,0,35
DC,MI,DC,Bat,Harbhajan Singh,Wankhede Stadium,Mumbai,152,153,MI,5,0
RCB,Punjab,Punjab,Field,Chris Gayle,M Chinnaswamy Stadium,Bangalore,226,88,RCB,0,138
SRH,RR,RR,Field,Eoin Morgan,Brabourne Stadium,Mumbai,201,194,SRH,0,7
KKR,DC,KKR,Bat,Piyush Chawla,Eden Gardens,Kolkata,171,158,KKR,0,13
CSK,MI,CSK,Bat,Hardik Pandya,MA Chidambaram Stadium,Chepauk,158,159,MI,6,0
Punjab,KKR,Punjab,Bat,Andre Russell,Eden Gardens,Kolkata,183,184,KKR,1,0
SRH,DC,SRH,Bat,Moises Henriques,Shaheed Veer Narayan Singh International Stadium,Raipur,163,157,SRH,0,6
RCB,MI,RCB,Bat,AB de Villiers,Wankhede Stadium,Mumbai,235,196,RCB,0,39
CSK,RR,CSK,Bat,Ravindra Jadeja,MA Chidambaram Stadium,Chepauk,157,145,CSK,0,12
SRH,Punjab,SRH,Bat,David Warner,Rajiv Gandhi International Stadium,Uppal,185,180,SRH,0,5
CSK,DC,CSK,Bat,Zaheer Khan,Shaheed Veer Narayan Singh International Stadium,Raipur,119,120,DC,6,0
Punjab,RCB,RCB,Field,Axar Patel,Punjab Cricket Association Stadium,Mohali,106,84,Punjab,0,22
MI,KKR,KKR,Field,Hardik Pandya,Wankhede Stadium,Mumbai,171,166,MI,0,5
SRH,RCB,SRH,Bat,Virat Kohli,Rajiv Gandhi International Stadium,Uppal,82,83,RCB,6,0
