team1,team2,toss_winner,toss_choice,man_of_the_match,stadium,place,team1_score,team2_score,winner,win_by_wickets,win_by_runs
Punjab,MI,Punjab,Bat,Ambati Rayudu,Punjab Cricket Association Stadium,Mohali,168,171,MI,4,0
DC,MI,MI,Field,Virender Sehwag,Feroz Shah Kotla,Delhi,207,170,DC,0,37
Punjab,CSK,Punjab,Bat,Mandeep Singh,MA Chidambaram Stadium,Chepauk,156,149,Punjab,0,7
KKR,RCB,KKR,Bat,Gautam Gambhir,Eden Gardens,Kolkata,190,143,KKR,0,47
DC,RR,DC,Bat,Virender Sehwag,Feroz Shah Kotla,Delhi,152,151,DC,0,1
SRH,MI,MI,Field,Dale Steyn,Wankhede Stadium,Mumbai,100,101,MI,5,0
CSK,KKR,CSK,Bat,Gautam Gambhir,MA Chidambaram Stadium,Chepauk,139,140,KKR,5,0
RR,DC,RR,Bat,Pawan Negi,Sawai Mansingh Stadium,Jaipur,141,144,DC,6,0
RCB,Punjab,Punjab,Field,Azhar Mahmood,M Chinnaswamy Stadium,Bangalore,158,163,Punjab,4,0
CSK,SRH,CSK,Bat,Suresh Raina,MA Chidambaram Stadium,Chepauk,160,150,CSK,0,10
RR,Punjab,RR,Bat,Shane Watson,Punjab Cricket Association Stadium,Mohali,177,134,RR,0,43
CSK,MI,MI,Field,Dwayne Smith,Wankhede Stadium,Mumbai,173,174,MI,2,0
SRH,RCB,RCB,Field,AB de Villiers,M Chinnaswamy Stadium,Bangalore,181,185,RCB,5,0
DC,KKR,DC,Bat,Jacques Kallis,Feroz Shah Kotla,Delhi,153,154,KKR,6,0
Punjab,SRH,SRH,Field,Mandeep Singh,Rajiv Gandhi International Stadium,Uppal,170,145,Punjab,0,25
MI,RCB,RCB,Field,Chris Gayle,Wankhede Stadium,Mumbai,141,142,RCB,9,0
SRH,DC,SRH,Bat,David Warner,Rajiv Gandhi International Stadium,Uppal,187,193,DC,9,0
RR,CSK,CSK,Field,Ben Hilfenhaus,Sawai Mansingh Stadium,Jaipur,126,127,CSK,4,0
MI,KKR,MI,Bat,Rohit Sharma,Eden Gardens,Kolkata,182,155,MI,0,27
DC,CSK,CSK,Field,Ben Hilfenhaus,MA Chidambaram Stadium,Chepauk,114,115,CSK,9,0
SRH,Punjab,SRH,Bat,David Hussey,Punjab Cricket Association Stadium,Mohali,190,194,Punjab,4,0
RCB,MI,MI,Field,Ambati Rayudu,M Chinnaswamy Stadium,Bangalore,171,173,MI,5,0
KKR,CSK,CSK,Field,Michael Hussey,Eden Gardens,Kolkata,158,160,CSK,5,0
Punjab,DC,Punjab,Bat,Umesh Yadav,Feroz Shah Kotla,Delhi,136,140,DC,5,0
KKR,MI,MI,Field,Sunil Narine,Wankhede Stadium,Mumbai,140,108,KKR,0,32
CSK,Punjab,Punjab,Field,Adam Gilchrist,Himachal Pradesh Cricket Association Stadium,Dharamsala,120,123,Punjab,6,0
RCB,DC,DC,Field,Chris Gayle,Feroz Shah Kotla,Delhi,215,194,RCB,0,21
RR,SRH,RR,Bat,Dale Steyn,Rajiv Gandhi International Stadium,Uppal,126,128,SRH,5,0
Punjab,DC,DC,Field,Umesh Yadav,Himachal Pradesh Cricket Association Stadium,Dharamsala,141,145,DC,6,0
SRH,RCB,RCB,Field,Dale Steyn,Rajiv Gandhi International Stadium,Uppal,132,123,SRH,0,9
RR,MI,RR,Bat,Dwayne Smith,Sawai Mansingh Stadium,Jaipur,162,163,MI,10,0
KKR,DC,KKR,Bat,Yusuf Pathan,Subrata Roy Sahara Stadium,Pune,162,144,KKR,0,18
CSK,MI,MI,Field,MS Dhoni,M Chinnaswamy Stadium,Bangalore,187,149,CSK,0,38
CSK,DC,DC,Field,Murali Vijay,MA Chidambaram Stadium,Chepauk,222,136,CSK,0,86
CSK,KKR,CSK,Bat,Manvinder  Bisla,MA Chidambaram Stadium,Chepauk,190,192,KKR,5,0
CSK,KKR,CSK,Bat,Srikkanth Anirudha,MA Chidambaram Stadium,Chepauk,153,151,CSK,0,2
SRH,RR,RR,Field,Siddharth Trivedi,Rajiv Gandhi International Stadium,Uppal,137,141,RR,8,0
DC,MI,DC,Bat,Lasith Malinga,Feroz Shah Kotla,Delhi,95,99,MI,8,0
KKR,SRH,KKR,Bat,Jacques Kallis,Eden Gardens,Kolkata,163,154,KKR,0,9
DC,RR,DC,Bat,Shane Warne,Sawai Mansingh Stadium,Jaipur,151,152,RR,6,0
RCB,MI,MI,Field,Sachin Tendulkar,M Chinnaswamy Stadium,Bangalore,140,143,MI,9,0
CSK,Punjab,Punjab,Field,Paul Valthaty,Punjab Cricket Association Stadium,Mohali,188,193,Punjab,6,0
RR,KKR,KKR,Field,Gautam Gambhir,Sawai Mansingh Stadium,Jaipur,159,160,KKR,9,0
CSK,RCB,CSK,Bat,Michael Hussey,MA Chidambaram Stadium,Chepauk,183,162,CSK,0,21
RR,KKR,KKR,Field,Lakshmipathy Balaji,Eden Gardens,Kolkata,81,85,KKR,8,0
Punjab,RR,RR,Field,Shaun Marsh,Punjab Cricket Association Stadium,Mohali,195,147,Punjab,0,48
KKR,RCB,RCB,Field,Chris Gayle,Eden Gardens,Kolkata,171,175,RCB,9,0
MI,CSK,CSK,Field,Harbhajan Singh,Wankhede Stadium,Mumbai,164,156,MI,0,8
DC,Punjab,Punjab,Field,David Warner,Feroz Shah Kotla,Delhi,231,202,DC,0,29
DC,RCB,RCB,Field,Virat Kohli,Feroz Shah Kotla,Delhi,160,161,RCB,3,0
KKR,DC,DC,Field,Manoj Tiwary,Feroz Shah Kotla,Delhi,148,131,KKR,0,17
MI,RR,RR,Field,Johan Botha,Sawai Mansingh Stadium,Jaipur,94,95,RR,7,0
Punjab,KKR,KKR,Field,Iqbal Abdulla,Eden Gardens,Kolkata,119,120,KKR,8,0
MI,Punjab,Punjab,Field,Kieron Pollard,Wankhede Stadium,Mumbai,159,136,MI,0,23
KKR,SRH,SRH,Field,Yusuf Pathan,Rajiv Gandhi International Stadium,Uppal,169,149,KKR,0,20
RR,CSK,RR,Bat,Michael Hussey,MA Chidambaram Stadium,Chepauk,147,149,CSK,8,0
RCB,Punjab,Punjab,Field,Chris Gayle,M Chinnaswamy Stadium,Bangalore,205,120,RCB,0,85
CSK,KKR,CSK,Bat,Iqbal Abdulla,Eden Gardens,Kolkata,114,61,KKR,0,10
MI,DC,DC,Field,Ambati Rayudu,Wankhede Stadium,Mumbai,178,146,MI,0,32
CSK,RR,RR,Field,Murali Vijay,Sawai Mansingh Stadium,Jaipur,196,133,CSK,0,63
Punjab,MI,MI,Field,Bhargav Bhatt,Punjab Cricket Association Stadium,Mohali,163,87,Punjab,0,76
RR,RCB,RCB,Field,Sreenath Aravind,Sawai Mansingh Stadium,Jaipur,146,151,RCB,9,0
CSK,DC,CSK,Bat,MS Dhoni,MA Chidambaram Stadium,Chepauk,176,158,CSK,0,18
KKR,RCB,RCB,Field,Chris Gayle,M Chinnaswamy Stadium,Bangalore,104,105,RCB,4,0
SRH,MI,SRH,Bat,Amit Mishra,Wankhede Stadium,Mumbai,135,125,SRH,0,10
Punjab,DC,DC,Field,Piyush Chawla,Himachal Pradesh Cricket Association Stadium,Dharamsala,170,141,Punjab,0,29
Punjab,RCB,Punjab,Bat,Adam Gilchrist,Himachal Pradesh Cricket Association Stadium,Dharamsala,232,121,Punjab,0,111
MI,RR,MI,Bat,Shane Watson,Wankhede Stadium,Mumbai,133,134,RR,10,0
SRH,Punjab,Punjab,Field,Shikhar Dhawan,Himachal Pradesh Cricket Association Stadium,Dharamsala,198,116,SRH,0,82
CSK,RCB,RCB,Field,Chris Gayle,M Chinnaswamy Stadium,Bangalore,128,129,RCB,8,0
KKR,MI,MI,Field,James Franklin,Eden Gardens,Kolkata,175,178,MI,5,0
RCB,CSK,CSK,Field,Suresh Raina,Wankhede Stadium,Mumbai,175,177,CSK,6,0
KKR,MI,MI,Field,Munaf Patel,Wankhede Stadium,Mumbai,147,148,MI,4,0
RCB,MI,MI,Field,Chris Gayle,MA Chidambaram Stadium,Chepauk,185,142,RCB,0,43
CSK,RCB,CSK,Bat,Murali Vijay,MA Chidambaram Stadium,Chepauk,205,147,CSK,0,58
KKR,SRH,SRH,Field,Angelo Mathews,Dr DY Patil Sports Academy,Mumbai,161,150,KKR,0,11
MI,RR,MI,Bat,Yusuf Pathan,Brabourne Stadium,Mumbai,212,208,MI,0,4
Punjab,DC,DC,Field,Gautam Gambhir,Punjab Cricket Association Stadium,Mohali,142,146,DC,5,0
RCB,KKR,KKR,Field,Manoj Tiwary,Eden Gardens,Kolkata,135,136,KKR,7,0
SRH,CSK,SRH,Bat,Chaminda Vaas,MA Chidambaram Stadium,Chepauk,190,159,SRH,0,31
RR,DC,DC,Field,Virender Sehwag,Sardar Patel Stadium,Motera,141,142,DC,6,0
Punjab,RCB,Punjab,Bat,Jacques Kallis,M Chinnaswamy Stadium,Bangalore,203,204,RCB,8,0
CSK,KKR,CSK,Bat,MS Dhoni,Eden Gardens,Kolkata,164,109,CSK,0,55
MI,DC,DC,Field,Sachin Tendulkar,Feroz Shah Kotla,Delhi,218,120,MI,0,98
RR,RCB,RCB,Field,Jacques Kallis,M Chinnaswamy Stadium,Bangalore,92,93,RCB,10,0
DC,CSK,DC,Bat,Matthew Hayden,Feroz Shah Kotla,Delhi,185,190,CSK,5,0
SRH,Punjab,Punjab,Field,Andrew Symonds,Barabati Stadium,Cuttack,170,164,SRH,0,6
RR,KKR,RR,Bat,Abhishek Jhunjhunwala,Sardar Patel Stadium,Motera,168,134,RR,0,34
MI,RCB,MI,Bat,Jacques Kallis,Brabourne Stadium,Mumbai,151,155,RCB,7,0
SRH,DC,SRH,Bat,Andrew Symonds,Barabati Stadium,Cuttack,171,161,SRH,0,10
Punjab,CSK,CSK,Field,Rusty Theron,MA Chidambaram Stadium,Chepauk,136,136,Tied,0,0
KKR,MI,KKR,Bat,Sachin Tendulkar,Brabourne Stadium,Mumbai,155,156,MI,7,0
RCB,CSK,CSK,Field,Robin Uthappa,M Chinnaswamy Stadium,Bangalore,171,135,RCB,0,36
RR,Punjab,Punjab,Field,Adam Voges,Punjab Cricket Association Stadium,Mohali,183,152,RR,0,31
DC,RCB,RCB,Field,Kedar Jadhav,M Chinnaswamy Stadium,Bangalore,183,166,DC,0,17
CSK,MI,MI,Field,Sachin Tendulkar,Brabourne Stadium,Mumbai,180,181,MI,5,0
SRH,RR,SRH,Bat,Yusuf Pathan,Sardar Patel Stadium,Motera,148,151,RR,8,0
KKR,Punjab,KKR,Bat,Manoj Tiwary,Punjab Cricket Association Stadium,Mohali,183,144,KKR,0,39
RR,CSK,RR,Bat,Naman Ojha,Sardar Patel Stadium,Motera,177,160,RR,0,17
MI,SRH,SRH,Field,Harbhajan Singh,Dr DY Patil Sports Academy,Mumbai,172,131,MI,0,41
DC,KKR,DC,Bat,David Warner,Feroz Shah Kotla,Delhi,177,137,DC,0,40
Punjab,MI,MI,Field,Lasith Malinga,Brabourne Stadium,Mumbai,163,164,MI,4,0
RCB,CSK,RCB,Bat,Murali Vijay,MA Chidambaram Stadium,Chepauk,161,162,CSK,5,0
DC,RR,DC,Bat,Dinesh Karthik,Feroz Shah Kotla,Delhi,188,121,DC,0,67
KKR,SRH,KKR,Bat,Sourav Ganguly,Eden Gardens,Kolkata,181,157,KKR,0,24
Punjab,RCB,Punjab,Bat,Kevin Pietersen,Punjab Cricket Association Stadium,Mohali,181,184,RCB,6,0
CSK,RR,CSK,Bat,Murali Vijay,MA Chidambaram Stadium,Chepauk,246,223,CSK,0,23
MI,SRH,MI,Bat,Ambati Rayudu,Brabourne Stadium,Mumbai,178,115,MI,0,63
KKR,Punjab,KKR,Bat,Mahela Jayawardene,Eden Gardens,Kolkata,200,204,Punjab,8,0
DC,RCB,DC,Bat,Paul Collingwood,Feroz Shah Kotla,Delhi,184,147,DC,0,37
RR,SRH,RR,Bat,Shane Warne,Vidarbha Cricket Association Stadium,Jamtha,159,157,RR,0,2
CSK,MI,CSK,Bat,Suresh Raina,MA Chidambaram Stadium,Chepauk,165,141,CSK,0,24
Punjab,RR,Punjab,Bat,Michael Lumb,Sawai Mansingh Stadium,Jaipur,153,157,RR,9,0
KKR,DC,KKR,Bat,Sourav Ganguly,Eden Gardens,Kolkata,181,167,KKR,0,14
RCB,SRH,SRH,Field,Tirumalasetti Suman,M Chinnaswamy Stadium,Bangalore,184,186,SRH,7,0
MI,Punjab,MI,Bat,Kumar Sangakkara,Punjab Cricket Association Stadium,Mohali,154,158,Punjab,6,0
CSK,SRH,CSK,Bat,Ryan Harris,Vidarbha Cricket Association Stadium,Jamtha,138,139,SRH,6,0
KKR,RCB,RCB,Field,Vinay Kumar,M Chinnaswamy Stadium,Bangalore,160,162,RCB,7,0
DC,Punjab,DC,Bat,Piyush Chawla,Feroz Shah Kotla,Delhi,111,112,Punjab,7,0
MI,RR,RR,Field,Sachin Tendulkar,Sawai Mansingh Stadium,Jaipur,174,137,MI,0,37
SRH,RCB,RCB,Field,Harmeet Singh,Vidarbha Cricket Association Stadium,Jamtha,151,138,SRH,0,13
MI,DC,MI,Bat,Kieron Pollard,Brabourne Stadium,Mumbai,183,144,MI,0,39
KKR,CSK,KKR,Bat,Ravichandran Ashwin,MA Chidambaram Stadium,Chepauk,139,143,CSK,9,0
RR,RCB,RR,Bat,Kevin Pietersen,Sawai Mansingh Stadium,Jaipur,130,132,RCB,5,0
CSK,DC,CSK,Bat,Gautam Gambhir,MA Chidambaram Stadium,Chepauk,112,113,DC,6,0
Punjab,SRH,SRH,Field,Rohit Sharma,Himachal Pradesh Cricket Association Stadium,Dharamsala,174,178,SRH,5,0
MI,RCB,RCB,Field,Ryan McLaren,M Chinnaswamy Stadium,Bangalore,191,134,MI,0,57
RR,KKR,RR,Bat,Jaydev Unadkat,Eden Gardens,Kolkata,132,133,KKR,8,0
Punjab,CSK,CSK,Field,MS Dhoni,Himachal Pradesh Cricket Association Stadium,Dharamsala,192,195,CSK,6,0
SRH,DC,SRH,Bat,Andrew Symonds,Feroz Shah Kotla,Delhi,145,134,SRH,0,11
MI,KKR,MI,Bat,Murali Kartik,Eden Gardens,Kolkata,133,135,KKR,9,0
MI,RCB,MI,Bat,Kieron Pollard,Dr DY Patil Sports Academy,Mumbai,184,149,MI,0,35
CSK,SRH,CSK,Bat,Doug Bollinger,Dr DY Patil Sports Academy,Mumbai,142,104,CSK,0,38
SRH,RCB,SRH,Bat,Anil Kumble,Dr DY Patil Sports Academy,Mumbai,82,86,RCB,9,0
CSK,MI,CSK,Bat,Suresh Raina,Dr DY Patil Sports Academy,Mumbai,168,146,CSK,0,22
MI,CSK,CSK,Field,Sachin Tendulkar,Newlands,Cape Town,165,146,MI,0,19
RCB,RR,RCB,Bat,Rahul Dravid,Newlands,Cape Town,133,58,RCB,0,75
Punjab,DC,DC,Field,Daniel Vettori,Newlands,Cape Town,57,58,DC,10,0
KKR,SRH,KKR,Bat,RP Singh,Newlands,Cape Town,101,104,SRH,8,0
CSK,RCB,CSK,Bat,Muthiah Muralidaran,St George's Park,Port Elizabeth,179,87,CSK,0,92
Punjab,KKR,KKR,Field,Chris Gayle,Kingsmead,Durban,158,79,KKR,0,11
SRH,RCB,SRH,Bat,Adam Gilchrist,Newlands,Cape Town,184,160,SRH,0,24
DC,CSK,DC,Bat,AB de Villiers,Kingsmead,Durban,189,180,DC,0,9
RR,KKR,KKR,Field,Yusuf Pathan,Newlands,Cape Town,150,150,Tied,0,0
RCB,Punjab,RCB,Bat,Ravi Bopara,Kingsmead,Durban,168,173,Punjab,7,0
SRH,MI,SRH,Bat,Pragyan Ojha,Kingsmead,Durban,168,156,SRH,0,12
RCB,DC,RCB,Bat,Tillakaratne Dilshan,St George's Park,Port Elizabeth,149,150,DC,6,0
Punjab,RR,Punjab,Bat,Kumar Sangakkara,Newlands,Cape Town,139,112,Punjab,0,27
CSK,SRH,SRH,Field,Herschelle Gibbs,Kingsmead,Durban,165,169,SRH,6,0
MI,KKR,MI,Bat,Sachin Tendulkar,St George's Park,Port Elizabeth,187,95,MI,0,92
DC,RR,DC,Bat,Yusuf Pathan,SuperSport Park,Centurion,143,147,RR,5,0
KKR,RCB,KKR,Bat,Mark Boucher,Kingsmead,Durban,139,143,RCB,5,0
Punjab,MI,Punjab,Bat,Kumar Sangakkara,Kingsmead,Durban,119,116,Punjab,0,3
SRH,DC,DC,Field,Dirk Nannes,SuperSport Park,Centurion,148,150,DC,6,0
CSK,RR,RR,Field,Suresh Raina,SuperSport Park,Centurion,164,126,CSK,0,38
MI,KKR,MI,Bat,Jean-Paul Duminy,Buffalo Park,East London,148,139,MI,0,9
RCB,Punjab,RCB,Bat,Yuvraj Singh,Kingsmead,Durban,145,137,RCB,0,8
SRH,RR,SRH,Bat,Yusuf Pathan,St George's Park,Port Elizabeth,141,142,RR,3,0
CSK,DC,DC,Field,Shadab Jakati,New Wanderers Stadium,Johannesburg,163,145,CSK,0,18
KKR,Punjab,KKR,Bat,Mahela Jayawardene,St George's Park,Port Elizabeth,153,154,Punjab,6,0
MI,RCB,MI,Bat,Jacques Kallis,New Wanderers Stadium,Johannesburg,149,150,RCB,9,0
CSK,SRH,CSK,Bat,MS Dhoni,Buffalo Park,East London,178,100,CSK,0,78
RR,Punjab,Punjab,Field,Graeme Smith,Kingsmead,Durban,211,133,RR,0,78
KKR,DC,KKR,Bat,Gautam Gambhir,Kingsmead,Durban,154,157,DC,9,0
SRH,MI,SRH,Bat,Rohit Sharma,SuperSport Park,Centurion,145,126,SRH,0,19
RCB,RR,RR,Field,Amit Singh,SuperSport Park,Centurion,105,107,RR,7,0
CSK,Punjab,CSK,Bat,Matthew Hayden,SuperSport Park,Centurion,186,174,CSK,0,12
MI,DC,MI,Bat,Ashish Nehra,Buffalo Park,East London,116,118,DC,7,0
SRH,Punjab,Punjab,Field,Mahela Jayawardene,De Beers Diamond Oval,Kimberley,168,169,Punjab,3,0
RR,CSK,RR,Bat,S Badrinath,De Beers Diamond Oval,Kimberley,140,141,CSK,7,0
MI,RCB,MI,Bat,Jean-Paul Duminy,St George's Park,Port Elizabeth,157,141,MI,0,16
KKR,DC,DC,Field,Amit Mishra,New Wanderers Stadium,Johannesburg,123,125,DC,7,0
SRH,RR,SRH,Bat,Dwayne Smith,De Beers Diamond Oval,Kimberley,166,113,SRH,0,53
KKR,RCB,RCB,Field,Ross Taylor,SuperSport Park,Centurion,173,176,RCB,6,0
Punjab,MI,Punjab,Bat,Harbhajan Singh,SuperSport Park,Centurion,119,122,MI,8,0
DC,SRH,SRH,Field,Rajat Bhatia,Kingsmead,Durban,173,161,DC,0,12
CSK,RCB,CSK,Bat,Ross Taylor,Kingsmead,Durban,129,132,RCB,2,0
RR,MI,RR,Bat,Shane Warne,Kingsmead,Durban,145,143,RR,0,2
DC,Punjab,Punjab,Field,Brett Lee,OUTsurance Oval,Bloemfontein,120,123,Punjab,6,0
MI,CSK,MI,Bat,Matthew Hayden,St George's Park,Port Elizabeth,147,151,CSK,7,0
KKR,SRH,SRH,Field,Rohit Sharma,New Wanderers Stadium,Johannesburg,160,166,SRH,6,0
Punjab,SRH,SRH,Field,Yuvraj Singh,New Wanderers Stadium,Johannesburg,134,133,Punjab,0,1
DC,RR,DC,Bat,AB de Villiers,OUTsurance Oval,Bloemfontein,150,136,DC,0,14
CSK,KKR,CSK,Bat,Brad Hodge,SuperSport Park,Centurion,188,189,KKR,7,0
DC,RCB,DC,Bat,Jacques Kallis,New Wanderers Stadium,Johannesburg,134,135,RCB,7,0
RR,KKR,KKR,Field,Laxmi Shukla,Kingsmead,Durban,101,102,KKR,4,0
CSK,Punjab,CSK,Bat,Muthiah Muralidaran,Kingsmead,Durban,116,92,CSK,0,24
MI,DC,DC,Field,Virender Sehwag,SuperSport Park,Centurion,165,166,DC,4,0
RCB,SRH,RCB,Bat,Manish Pandey,SuperSport Park,Centurion,170,158,RCB,0,12
DC,SRH,SRH,Field,Adam Gilchrist,SuperSport Park,Centurion,153,154,SRH,6,0
CSK,RCB,RCB,Field,Manish Pandey,New Wanderers Stadium,Johannesburg,146,149,RCB,6,0
SRH,RCB,RCB,Field,Anil Kumble,New Wanderers Stadium,Johannesburg,143,137,SRH,0,6
KKR,RCB,RCB,Field,Brendon McCullum,M Chinnaswamy Stadium,Bangalore,222,82,KKR,0,140
CSK,Punjab,CSK,Bat,Michael Hussey,Punjab Cricket Association Stadium,Mohali,240,207,CSK,0,33
RR,DC,RR,Bat,Farveez Maharoof,Feroz Shah Kotla,Delhi,129,132,DC,9,0
SRH,KKR,SRH,Bat,David Hussey,Eden Gardens,Kolkata,110,112,KKR,5,0
MI,RCB,MI,Bat,Mark Boucher,Wankhede Stadium,Mumbai,165,166,RCB,5,0
Punjab,RR,Punjab,Bat,Shane Watson,Sawai Mansingh Stadium,Jaipur,166,168,RR,6,0
SRH,DC,SRH,Bat,Virender Sehwag,Rajiv Gandhi International Stadium,Uppal,142,143,DC,9,0
CSK,MI,MI,Field,Matthew Hayden,MA Chidambaram Stadium,Chepauk,208,202,CSK,0,6
SRH,RR,RR,Field,Yusuf Pathan,Rajiv Gandhi International Stadium,Uppal,214,217,RR,3,0
Punjab,MI,MI,Field,Kumar Sangakkara,Punjab Cricket Association Stadium,Mohali,182,116,Punjab,0,66
KKR,CSK,KKR,Bat,Jacob Oram,MA Chidambaram Stadium,Chepauk,147,152,CSK,9,0
RCB,RR,RR,Field,Shane Watson,M Chinnaswamy Stadium,Bangalore,135,138,RR,7,0
DC,Punjab,DC,Bat,Simon Katich,Punjab Cricket Association Stadium,Mohali,158,162,Punjab,4,0
MI,SRH,SRH,Field,Adam Gilchrist,Dr DY Patil Sports Academy,Mumbai,154,155,SRH,10,0
CSK,RCB,CSK,Bat,MS Dhoni,M Chinnaswamy Stadium,Bangalore,178,165,CSK,0,13
KKR,MI,KKR,Bat,Sanath Jayasuriya,Eden Gardens,Kolkata,137,138,MI,7,0
DC,RCB,RCB,Field,Glenn McGrath,Feroz Shah Kotla,Delhi,191,181,DC,0,10
RR,KKR,RR,Bat,Swapnil Asnodkar,Sawai Mansingh Stadium,Jaipur,196,151,RR,0,45
SRH,Punjab,Punjab,Field,Shaun Marsh,Rajiv Gandhi International Stadium,Uppal,164,167,Punjab,7,0
CSK,DC,CSK,Bat,Virender Sehwag,MA Chidambaram Stadium,Chepauk,169,172,DC,8,0
RCB,SRH,SRH,Field,Praveen Kumar,M Chinnaswamy Stadium,Bangalore,156,153,RCB,0,3
Punjab,KKR,Punjab,Bat,Irfan Pathan,Punjab Cricket Association Stadium,Mohali,178,169,Punjab,0,9
MI,DC,DC,Field,Shaun Pollock,Dr DY Patil Sports Academy,Mumbai,162,133,MI,0,29
CSK,RR,CSK,Bat,Sohail Tanvir,Sawai Mansingh Stadium,Jaipur,109,110,RR,8,0
RCB,Punjab,Punjab,Field,Sreesanth,M Chinnaswamy Stadium,Bangalore,126,127,Punjab,6,0
CSK,SRH,SRH,Field,Adam Gilchrist,MA Chidambaram Stadium,Chepauk,144,148,SRH,7,0
RR,MI,MI,Field,Ashish Nehra,Dr DY Patil Sports Academy,Mumbai,103,104,MI,7,0
DC,CSK,CSK,Field,MS Dhoni,Feroz Shah Kotla,Delhi,187,188,CSK,4,0
KKR,RCB,KKR,Bat,Sourav Ganguly,Eden Gardens,Kolkata,119,124,KKR,0,5
SRH,RR,RR,Field,Yusuf Pathan,Sawai Mansingh Stadium,Jaipur,140,141,RR,8,0
CSK,Punjab,Punjab,Field,Lakshmipathy Balaji,MA Chidambaram Stadium,Chepauk,181,163,CSK,0,18
KKR,SRH,KKR,Bat,Sourav Ganguly,Rajiv Gandhi International Stadium,Uppal,204,181,KKR,0,23
DC,RR,RR,Field,Shane Watson,Sawai Mansingh Stadium,Jaipur,156,159,RR,3,0
RCB,Punjab,RCB,Bat,Shaun Marsh,Punjab Cricket Association Stadium,Mohali,143,144,Punjab,9,0
KKR,DC,KKR,Bat,Shoaib Akhtar,Eden Gardens,Kolkata,133,110,KKR,0,23
CSK,MI,MI,Field,Sanath Jayasuriya,Wankhede Stadium,Mumbai,156,158,MI,9,0
DC,SRH,SRH,Field,Amit Mishra,Feroz Shah Kotla,Delhi,194,182,DC,0,12
KKR,MI,MI,Field,Shaun Pollock,Wankhede Stadium,Mumbai,67,68,MI,8,0
RR,RCB,RCB,Field,Graeme Smith,Sawai Mansingh Stadium,Jaipur,197,132,RR,0,65
DC,Punjab,DC,Bat,Mahela Jayawardene,Feroz Shah Kotla,Delhi,88,94,Punjab,0,6
KKR,CSK,KKR,Bat,Makhaya Ntini,Eden Gardens,Kolkata,149,55,CSK,0,3
MI,SRH,SRH,Field,Dwayne Bravo,Rajiv Gandhi International Stadium,Uppal,178,153,MI,0,25
RCB,DC,DC,Field,Shreevats Goswami,M Chinnaswamy Stadium,Bangalore,154,158,DC,5,0
KKR,RR,RR,Field,Yusuf Pathan,Eden Gardens,Kolkata,147,150,RR,6,0
Punjab,MI,MI,Field,Shaun Marsh,Wankhede Stadium,Mumbai,189,188,Punjab,0,1
RCB,CSK,RCB,Bat,Anil Kumble,MA Chidambaram Stadium,Chepauk,126,112,RCB,0,14
SRH,Punjab,Punjab,Field,Shaun Marsh,Punjab Cricket Association Stadium,Mohali,175,178,Punjab,6,0
RR,CSK,RR,Bat,Albie Morkel,MA Chidambaram Stadium,Chepauk,211,201,RR,0,10
MI,DC,DC,Field,Dinesh Karthik,Feroz Shah Kotla,Delhi,176,179,DC,5,0
SRH,RCB,SRH,Bat,Vinay Kumar,Rajiv Gandhi International Stadium,Uppal,165,171,RCB,5,0
Punjab,KKR,Punjab,Bat,Umar Gul,Eden Gardens,Kolkata,174,175,KKR,3,0
MI,RR,RR,Field,Sohail Tanvir,Sawai Mansingh Stadium,Jaipur,145,146,RR,5,0
SRH,CSK,SRH,Bat,Suresh Raina,Rajiv Gandhi International Stadium,Uppal,147,148,CSK,7,0
RCB,MI,MI,Field,Dilhara Fernando,M Chinnaswamy Stadium,Bangalore,125,126,MI,9,0
Punjab,RR,RR,Field,Shaun Marsh,Punjab Cricket Association Stadium,Mohali,221,180,Punjab,0,41
RR,DC,DC,Field,Shane Watson,Wankhede Stadium,Mumbai,192,87,RR,0,105
Punjab,CSK,Punjab,Bat,Makhaya Ntini,Wankhede Stadium,Mumbai,112,116,CSK,9,0
CSK,RR,RR,Field,Yusuf Pathan,Dr DY Patil Sports Academy,Mumbai,163,164,RR,3,0
LSG,GT,GT,Field,Mohammed Shami,Wankhede Stadium,Mumbai,158,161,GT,5,0
Punjab,GT,GT,Field,Shubman Gill,Brabourne Stadium,Mumbai,189,190,GT,6,0
CSK,GT,GT,Field,David Miller,Maharashtra Cricket Association Stadium,Pune,169,170,GT,3,0
SRH,GT,GT,Field,Umran Malik,Wankhede Stadium,Mumbai,195,199,GT,5,0
RCB,GT,RCB,Bat,Rahul Tewatia,Brabourne Stadium,Mumbai,170,174,GT,6,0
MI,GT,GT,Field,Tim David,Brabourne Stadium,Mumbai,177,172,MI,0,5
CSK,GT,CSK,Bat,Wriddhiman Saha,Wankhede Stadium,Mumbai,133,137,GT,7,0
RR,GT,GT,Field,David Miller,Eden Gardens,Kolkata,188,191,GT,7,0
RR,GT,RR,Bat,Hardik Pandya,Narendra Modi Stadium,Ahmedabad,130,133,GT,7,0
GT,DC,DC,Field,Lockie Ferguson,Maharashtra Cricket Association Stadium,Pune,171,157,GT,0,14
GT,SRH,SRH,Field,Kane Williamson,Dr DY Patil Sports Academy,Mumbai,162,168,SRH,8,0
GT,RR,RR,Field,Hardik Pandya,Dr DY Patil Sports Academy,Mumbai,192,155,GT,0,37
GT,KKR,GT,Bat,Rashid Khan,Dr DY Patil Sports Academy,Mumbai,156,148,GT,0,8
